City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sobolevo,RU,54.4299,31.8996,23.04,94,99,11.68,light snow
79,Yumen,CN,40.2833,97.2,21.61,44,20,10.07,few clouds
80,Oksfjord,NO,70.2396,22.3479,28.58,92,100,2.77,light snow
81,Lukang,TW,24.0567,120.4352,71.44,89,82,20.8,broken clouds
82,Mount Isa,AU,-20.7333,139.5,78.57,78,100,9.22,overcast clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,58,0,11.5,clear sky
84,Copiapo,CL,-27.3667,-70.3333,62.29,57,10,4.99,clear sky
85,Kashiwazaki,JP,37.3667,138.55,33.89,77,100,5.39,overcast clouds
86,Tasiilaq,GL,65.6145,-37.6368,15.96,90,100,15.88,overcast clouds
87,Butaritari,KI,3.0707,172.7902,81.43,79,29,13.87,scattered clouds
88,Mataura,NZ,-46.1927,168.8643,45.48,89,98,2.8,overcast clouds
89,Sorland,NO,67.667,12.6934,37.26,91,100,15.3,overcast clouds
90,West Bay,KY,19.3667,-81.4167,80.01,84,20,1.01,few clouds
91,Labuhan,ID,-6.8844,112.2051,79.66,85,100,11.01,overcast clouds
92,Vrangel,RU,42.7297,133.0839,18.46,60,0,11.7,clear sky
93,Kenitra,MA,34.261,-6.5802,70.72,49,14,5.53,few clouds
94,Ushuaia,AR,-54.8,-68.3,47.86,87,75,21.85,drizzle
95,Sarangani,PH,5.4033,125.4636,81.93,80,21,20.69,few clouds
96,Abonnema,NG,4.7084,6.7931,91.69,32,8,2.37,clear sky
97,Shenjiamen,CN,29.9576,122.298,45.84,84,100,17.49,overcast clouds
98,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,26.46,snow
99,Atuona,PF,-9.8,-139.0333,77.77,77,41,18.61,light rain
100,Cape Town,ZA,-33.9258,18.4232,81.12,57,0,5.01,clear sky
101,Tuktoyaktuk,CA,69.4541,-133.0374,-18.8,100,77,9.19,broken clouds
102,Margate,GB,51.3813,1.3862,54.91,80,83,5.99,broken clouds
103,Mecca,SA,21.4267,39.8261,72.28,34,1,16.96,clear sky
104,Boa Vista,BR,2.8197,-60.6733,84.18,54,0,16.11,clear sky
105,Lebu,CL,-37.6167,-73.65,65.68,71,0,5.44,clear sky
106,Tayu,ID,-6.5397,111.0518,78.44,89,100,8.79,overcast clouds
107,Ambilobe,MG,-13.2,49.05,80.08,82,43,2.75,moderate rain
108,Sitka,US,57.0531,-135.33,39.09,75,100,10.36,overcast clouds
109,San Cristobal,VE,7.7669,-72.225,68.18,64,93,0.58,overcast clouds
110,Batticaloa,LK,7.7102,81.6924,77.63,70,99,10.69,overcast clouds
111,Isangel,VU,-19.55,169.2667,79.7,88,100,6.69,moderate rain
112,Longyearbyen,SJ,78.2186,15.6401,8.44,66,75,10.36,broken clouds
113,Yellowknife,CA,62.456,-114.3525,0.12,85,0,10.36,clear sky
114,Tautira,PF,-17.7333,-149.15,77.02,78,30,16.04,light rain
115,Ribeira Grande,PT,38.5167,-28.7,59.4,82,75,12.66,broken clouds
116,Tiksi,RU,71.6872,128.8694,-7.83,90,26,11.79,scattered clouds
117,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,-1.66,91,100,10.22,overcast clouds
118,Mount Gambier,AU,-37.8333,140.7667,66.11,88,100,6.91,overcast clouds
119,Qaqortoq,GL,60.7167,-46.0333,28.9,70,94,32.37,overcast clouds
120,Camacha,PT,33.0833,-16.3333,58.42,72,40,16.11,scattered clouds
121,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,79,75,4.0,broken clouds
122,Saint-Philippe,RE,-21.3585,55.7679,83.75,71,2,8.39,clear sky
123,Nanortalik,GL,60.1432,-45.2371,26.83,71,90,26.53,overcast clouds
124,Panjab,AF,34.388,67.0233,7.95,70,29,2.42,scattered clouds
125,The Valley,AI,18.217,-63.0578,81.82,69,40,13.8,scattered clouds
126,Bluff,NZ,-46.6,168.3333,45.81,75,96,4.74,overcast clouds
127,Terrace,CA,54.5163,-128.6035,30.11,100,100,2.3,mist
128,Hvide Sande,DK,56.0045,8.1294,45.0,81,20,20.71,few clouds
129,Hambantota,LK,6.1241,81.1185,80.94,74,20,9.22,few clouds
130,Jalingo,NG,8.8833,11.3667,95.74,10,100,8.03,overcast clouds
131,Mahebourg,MU,-20.4081,57.7,83.25,65,40,11.5,scattered clouds
132,Grunstadt,DE,49.5692,8.1681,39.09,89,97,16.53,overcast clouds
133,Koundara,GN,12.4833,-13.3,100.58,10,17,2.13,few clouds
134,Vryheid,ZA,-27.7695,30.7917,86.88,33,9,8.79,clear sky
135,Castelldefels,ES,41.2779,1.9703,64.65,68,0,4.0,clear sky
136,Chuy,UY,-33.6971,-53.4616,72.57,52,1,16.44,clear sky
137,Zlobin,HR,45.2924,14.6541,43.63,74,75,3.44,broken clouds
138,Rudnogorsk,RU,57.2639,103.7519,-13.59,100,100,0.94,overcast clouds
139,Sechura,PE,-5.5569,-80.8222,74.64,70,20,7.76,few clouds
140,Kudahuvadhoo,MV,2.6708,72.8944,80.55,63,93,9.46,overcast clouds
141,Kushalgarh,IN,23.199,74.4507,62.83,30,0,7.27,clear sky
142,May Pen,JM,17.9645,-77.2451,78.21,70,1,4.05,clear sky
143,Srivardhan,IN,18.0333,73.0167,73.42,65,2,11.83,clear sky
144,Hithadhoo,MV,-0.6,73.0833,81.41,73,100,17.72,moderate rain
145,Mnogovershinnyy,RU,53.9353,139.9242,-16.78,98,40,3.8,scattered clouds
146,Beloha,MG,-25.1667,45.05,82.49,48,0,19.17,clear sky
147,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,75,11.9,broken clouds
148,Atar,MR,20.5169,-13.0499,77.65,23,76,5.77,broken clouds
149,Chapais,CA,49.7834,-74.8492,2.98,91,100,16.22,overcast clouds
150,Chulman,RU,56.8479,124.9104,-3.75,94,100,11.61,overcast clouds
151,Mahajanga,MG,-15.7167,46.3167,91.42,52,20,4.61,few clouds
152,Henderson,US,36.0397,-114.9819,44.82,34,0,0.0,clear sky
153,Rio Grande,BR,-32.035,-52.0986,77.11,61,83,21.9,broken clouds
154,Fare,PF,-16.7,-151.0167,80.22,77,29,15.08,light rain
155,Diffa,NE,13.3154,12.6113,78.08,20,69,17.52,broken clouds
156,Nieuw Amsterdam,SR,5.8833,-55.0833,82.56,89,57,7.54,broken clouds
157,Evensk,RU,61.95,159.2333,16.93,80,100,29.17,overcast clouds
158,Upernavik,GL,72.7868,-56.1549,-8.01,95,64,8.14,broken clouds
159,Mamit,IN,23.9333,92.4833,51.87,93,2,2.44,clear sky
160,Port Elizabeth,ZA,-33.918,25.5701,78.1,83,100,8.05,overcast clouds
161,Kilindoni,TZ,-7.9139,39.6668,82.13,72,1,14.76,clear sky
162,Tiarei,PF,-17.5333,-149.3333,77.02,78,27,17.11,light rain
163,Amapa,BR,1.0,-52.0,81.14,73,82,3.4,broken clouds
164,Vicuna,CL,-30.0319,-70.7081,55.13,46,0,6.87,clear sky
165,Castro,BR,-24.7911,-50.0119,75.25,84,92,6.76,overcast clouds
166,Sterling,US,39.0062,-77.4286,23.41,75,0,0.0,clear sky
167,Dabat,ET,12.9842,37.765,68.52,25,58,6.98,broken clouds
168,Sindhnur,IN,15.7833,76.7667,74.97,41,0,7.7,clear sky
169,Tatarsk,RU,55.219,75.9828,0.91,98,100,6.46,overcast clouds
170,Palmer,US,42.1584,-72.3287,12.45,78,20,0.0,few clouds
171,Tura,IN,25.5198,90.2201,54.54,57,0,0.34,clear sky
172,Joao Pinheiro,BR,-17.7425,-46.1725,78.39,62,0,5.7,clear sky
173,Saskylakh,RU,71.9167,114.0833,-5.93,82,38,8.12,scattered clouds
174,Airai,TL,-8.9266,125.4092,62.1,89,75,2.64,broken clouds
175,Villarrica,PY,-25.75,-56.4333,90.43,47,100,6.85,overcast clouds
176,La Ronge,CA,55.1001,-105.2842,-10.98,77,75,4.61,broken clouds
177,Waingapu,ID,-9.6567,120.2641,80.37,78,100,8.48,overcast clouds
178,New Norfolk,AU,-42.7826,147.0587,72.9,91,91,3.13,overcast clouds
179,Burnie,AU,-41.0667,145.9167,68.92,99,96,9.33,overcast clouds
180,Erie,US,42.7667,-78.6664,18.36,66,100,5.01,overcast clouds
181,Teya,RU,60.3778,92.6267,-9.74,100,91,2.06,overcast clouds
182,Tevaitoa,PF,-16.7833,-151.5,80.1,78,59,15.97,light rain
183,Oblivskaya,RU,48.5362,42.5014,26.87,98,100,4.14,light snow
184,Nampula,MZ,-15.1165,39.2666,75.15,94,75,8.05,thunderstorm with light rain
185,Sokolo,ML,14.7328,-6.1219,89.29,6,5,9.37,clear sky
