City_ID,City,Cloudiness,Wind Speed,Country,Date,Lat,Lng,Max Temp,Humidity
67,Arraial Do Cabo,0,19.98,BR,2022-01-26 01:03:29,-22.9661,-42.0278,76.15,88
68,Ayacucho,94,4.27,PE,2022-01-26 01:03:29,-13.1583,-74.2239,59.94,75
69,Auki,100,6.69,SB,2022-01-26 01:03:29,-8.7676,160.7034,80.74,85
70,Sao Filipe,2,11.1,CV,2022-01-26 01:03:30,14.8961,-24.4956,75.81,60
71,Imbituba,7,14.9,BR,2022-01-26 01:03:30,-28.24,-48.6703,80.49,88
72,Rawson,1,18.95,AR,2022-01-26 01:03:30,-43.3002,-65.1023,62.31,63
73,Chokurdakh,100,7.34,RU,2022-01-26 01:03:30,70.6333,147.9167,-31.83,100
74,College,40,10.36,US,2022-01-26 01:03:31,64.8569,-147.8028,19.35,70
75,Tura,1,3.6,IN,2022-01-26 01:03:31,25.5198,90.2201,54.97,76
76,Hofn,16,15.26,IS,2022-01-26 01:03:31,64.2539,-15.2082,34.11,55
77,Kapaa,40,1.99,US,2022-01-26 01:03:32,22.0752,-159.319,78.78,68
78,Castro,6,4.56,BR,2022-01-26 01:03:32,-24.7911,-50.0119,66.42,64
79,Hovd,4,4.68,MN,2022-01-26 01:03:32,48.0056,91.6419,-11.33,75
80,Itarema,99,11.27,BR,2022-01-26 01:03:33,-2.9248,-39.9167,80.53,74
81,Vostok,100,1.41,RU,2022-01-26 01:03:33,46.4856,135.8833,7.48,89
82,North Bend,0,4.61,US,2022-01-26 01:03:33,43.4065,-124.2243,57.11,71
83,Tiksi,100,11.14,RU,2022-01-26 01:03:34,71.6872,128.8694,-5.87,94
84,Uwajima,94,10.96,JP,2022-01-26 01:03:34,33.2238,132.56,48.92,83
85,Nantucket,90,16.35,US,2022-01-26 01:00:29,41.2835,-70.0995,38.14,80
86,Leshukonskoye,53,4.76,RU,2022-01-26 01:03:34,64.8989,45.7622,7.72,96
87,Dikson,100,30.04,RU,2022-01-26 01:03:34,73.5069,80.5464,11.59,92
88,Lavrentiya,10,5.48,RU,2022-01-26 01:03:35,65.5833,-171.0,-20.15,87
89,Camacha,40,17.27,PT,2022-01-26 01:03:35,33.0833,-16.3333,58.42,63
90,Tukrah,100,22.91,LY,2022-01-26 01:03:35,32.5341,20.5791,48.81,51
91,Korcula,4,6.96,HR,2022-01-26 01:03:36,42.9622,17.1369,43.65,43
92,Kavaratti,100,6.31,IN,2022-01-26 01:03:36,10.5669,72.642,77.4,53
93,Helong,14,5.01,CN,2022-01-26 01:03:36,42.5397,128.9972,18.05,67
94,East London,100,3.94,ZA,2022-01-26 01:04:36,-33.0153,27.9116,72.36,85
95,Bluff,99,16.06,NZ,2022-01-26 01:04:37,-46.6,168.3333,55.8,78
96,Saint-Philippe,95,12.44,RE,2022-01-26 01:04:37,-21.3585,55.7679,74.79,69
97,Bethel,0,3.44,US,2022-01-26 01:03:51,41.3712,-73.414,34.05,60
98,Vao,63,9.08,NC,2022-01-26 01:04:38,-22.6667,167.4833,77.34,71
99,Wewak,93,1.99,PG,2022-01-26 01:04:38,-3.5534,143.6268,84.51,68
100,Kenai,0,0.0,US,2022-01-26 01:04:02,60.5544,-151.2583,33.89,80
101,Xichang,87,4.18,CN,2022-01-26 01:04:38,27.8964,102.2634,46.11,89
102,Waw,17,4.83,SS,2022-01-26 01:04:38,7.7029,27.9953,72.63,25
103,Noumea,96,9.62,NC,2022-01-26 01:04:39,-22.2763,166.4572,85.98,99
104,Isangel,15,5.95,VU,2022-01-26 01:04:39,-19.55,169.2667,85.55,71
105,Katsuura,100,15.23,JP,2022-01-26 01:04:40,35.1333,140.3,46.18,91
106,Bilibino,53,3.09,RU,2022-01-26 01:04:40,68.0546,166.4372,-38.49,96
107,Namibe,96,2.17,AO,2022-01-26 01:04:40,-15.1961,12.1522,75.13,84
108,Passo De Camaragibe,98,3.94,BR,2022-01-26 01:04:40,-9.2368,-35.4901,80.15,84
109,Emerald,100,13.31,AU,2022-01-26 01:03:19,-23.5333,148.1667,87.35,42
110,Port Lincoln,62,1.12,AU,2022-01-26 01:00:28,-34.7333,135.8667,75.65,73
111,Lebu,0,14.94,CL,2022-01-26 01:04:41,-37.6167,-73.65,58.08,88
112,Dovolnoye,100,7.87,RU,2022-01-26 01:04:41,54.4958,79.6671,9.09,95
113,Upernavik,98,8.7,GL,2022-01-26 01:04:42,72.7868,-56.1549,1.51,94
114,Meulaboh,92,3.47,ID,2022-01-26 01:04:42,4.1363,96.1285,77.05,85
115,Shitanjing,65,2.77,CN,2022-01-26 01:04:42,39.2342,106.3439,20.26,52
116,Tasiilaq,16,8.3,GL,2022-01-26 01:04:42,65.6145,-37.6368,17.76,72
117,Evanston,13,3.0,US,2022-01-26 01:02:11,42.0411,-87.6901,6.94,63
118,Makakilo City,20,6.91,US,2022-01-26 01:04:43,21.3469,-158.0858,79.12,54
119,Vicam,100,6.04,MX,2022-01-26 01:04:43,27.6333,-110.2833,67.8,45
120,Mar Del Plata,0,1.99,AR,2022-01-26 01:01:09,-38.0023,-57.5575,75.09,95
121,Buraydah,0,10.98,SA,2022-01-26 01:04:43,26.326,43.975,58.69,41
122,Torbay,100,5.99,CA,2022-01-26 01:00:29,47.6666,-52.7314,26.76,90
123,Nanortalik,100,9.06,GL,2022-01-26 01:04:44,60.1432,-45.2371,26.4,93
124,Khatanga,80,13.24,RU,2022-01-26 01:04:44,71.9667,102.5,-2.97,86
125,Buchanan,5,2.35,LR,2022-01-26 01:04:45,5.8808,-10.0467,77.41,86
126,Qaanaaq,10,7.54,GL,2022-01-26 01:04:45,77.484,-69.3632,-10.7,57
127,Carutapera,51,6.4,BR,2022-01-26 01:04:45,-1.195,-46.02,76.51,89
128,Northam,100,1.99,GB,2022-01-26 01:04:45,51.0333,-4.2167,43.09,89
129,Puerto Quijarro,99,3.27,BO,2022-01-26 01:04:46,-17.7833,-57.7667,79.21,73
130,Nikolskoye,71,3.15,RU,2022-01-26 01:04:46,59.7035,30.7861,15.69,99
131,Igrim,100,7.92,RU,2022-01-26 01:04:46,63.1906,64.4162,13.24,91
132,Ingham,100,9.22,US,2022-01-26 01:04:47,42.6,-84.3833,17.74,73
133,Buin,0,3.96,CL,2022-01-26 01:04:47,-33.7333,-70.75,77.74,55
134,Victoria,99,11.99,HK,2022-01-26 01:00:54,22.2855,114.1577,67.24,89
135,Mudgee,100,10.36,AU,2022-01-26 01:04:47,-32.5943,149.5871,73.78,73
136,Mahebourg,40,10.36,MU,2022-01-26 01:04:47,-20.4081,57.7,75.49,69
137,Buala,100,5.64,SB,2022-01-26 01:05:48,-8.145,159.5921,82.15,78
138,Matamoros,40,5.75,MX,2022-01-26 01:05:48,25.5333,-103.25,68.11,24
139,Belmonte,100,7.65,BR,2022-01-26 01:05:48,-15.8631,-38.8828,79.3,83
140,Conde,20,4.61,BR,2022-01-26 01:05:49,-7.2597,-34.9075,78.26,83
141,Kawalu,100,1.95,ID,2022-01-26 01:05:49,-7.3817,108.2082,78.62,80
142,Kaitangata,100,6.78,NZ,2022-01-26 01:05:49,-46.2817,169.8464,53.01,95
143,Bud,1,9.51,US,2022-01-26 01:05:50,39.447,-86.1758,21.16,61
144,Mehamn,100,26.17,NO,2022-01-26 01:05:50,71.0357,27.8492,30.88,65
145,Mana,100,9.26,GF,2022-01-26 01:05:50,5.6592,-53.7767,76.59,84
146,Great Bend,100,4.61,US,2022-01-26 01:05:51,38.3645,-98.7648,21.25,88
147,Kutum,100,8.86,SD,2022-01-26 01:05:51,14.2,24.6667,57.04,27
148,Zaysan,46,3.02,KZ,2022-01-26 01:05:51,47.4667,84.8667,-9.29,83
149,Longyearbyen,40,14.97,SJ,2022-01-26 01:01:36,78.2186,15.6401,15.64,57
150,Zolotyy Potik,96,16.71,UA,2022-01-26 01:05:52,48.9095,25.3393,34.09,94
151,Mackenzie,89,6.13,CA,2022-01-26 01:05:52,55.2999,-123.1698,27.05,97
152,Panaba,13,7.54,MX,2022-01-26 01:05:52,21.2833,-88.2667,73.0,93
153,Sitka,100,6.91,US,2022-01-26 01:05:52,57.0531,-135.33,39.09,87
154,Kingsport,20,1.99,US,2022-01-26 01:05:53,36.5484,-82.5618,41.85,83
155,Port Elizabeth,90,9.8,ZA,2022-01-26 01:05:53,-33.918,25.5701,70.11,88
156,Bengkulu,95,3.58,ID,2022-01-26 01:05:53,-3.8004,102.2655,78.35,80
157,Hilo,9,3.0,US,2022-01-26 01:05:54,19.7297,-155.09,75.25,78
158,Kashi,100,3.67,CN,2022-01-26 01:05:54,39.4547,75.9797,24.08,55
159,Nuuk,100,11.5,GL,2022-01-26 01:05:54,64.1835,-51.7216,23.61,74
160,Iguatemi,100,11.95,BR,2022-01-26 01:05:55,-23.6803,-54.5611,79.16,77
161,Leningradskiy,25,4.38,RU,2022-01-26 01:05:55,69.3833,178.4167,-26.91,86
162,Fortuna,4,1.01,US,2022-01-26 01:05:55,40.5982,-124.1573,54.19,83
163,Tumut,0,5.1,AU,2022-01-26 01:05:55,-35.3,148.2167,86.68,37
164,Havre-Saint-Pierre,100,12.66,CA,2022-01-26 01:05:56,50.2334,-63.5986,10.76,85
165,Kalnibolotskaya,18,3.11,RU,2022-01-26 01:05:56,46.0058,40.4568,18.57,95
166,Antofagasta,8,4.34,CL,2022-01-26 01:05:56,-23.65,-70.4,65.48,76
167,Georgetown,20,5.75,MY,2022-01-26 01:05:57,5.4112,100.3354,80.53,83
168,Mayya,100,6.58,RU,2022-01-26 01:05:57,61.7333,130.2811,-20.88,97
169,Lagoa,100,8.75,PT,2022-01-26 01:03:07,39.05,-27.9833,58.62,82
